pengguna;produk;rating;review;gambar
R***n;OPPO A3x 4GB(+4GB)/64GB (Garansi Resmi)  XYZ8732OPVarian: Biru;5;Packaging bagus, bersegel, lengkap.;
"cuman pengirimannya aja agak lelet""";gambar_produk/produk_12_5.webp;;;
Adi;OPPO A3x 4GB(+4GB)/128GB (Garansi Resmi) XYZ8732OPVarian: Biru;5;sesuai deskripsi dan ekspektasi..;
barang segel..;;;;
"pengiriman cukup cepat..""";gambar_produk/produk_12_6.webp;;;
Nina;OPPO A60 8GB+8GB/128GB & 256GB (Garansi Resmi) XYZ8732OPVarian: Ungu 256GB;5;Alhamdulillah.  cepat smp. sementara kondisi baik.;gambar_produk/produk_12_7.webp
m***d;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;mantap, barang masih disegel, dobel safety, terimakasih;gambar_produk/produk_12_8.webp
Faiz;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Putih;5;original;gambar_produk/produk_12_9.webp
Bagas;OPPO A3x 6GB/128GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Biru;5;sesuai dan bekerja;gambar_produk/produk_13_0.webp
S***u;OPPO A78 8GB(+8GB)/256GB Smartphone (Garansi Resmi)Varian: Hijau+TebusMrh;5;barang segel utuh dpt bonus lumayan ... order tgl 3 pagi sampe semarang tgl 4 sore.. sempet ragu pakai sicepat krena sering molor berhari2 tapi kali ini best lah si cepat;gambar_produk/produk_13_1.webp
Dias;OPPO A58 NFC 8GB/128GB (Garansi Resmi)Varian: Hitam+TebusMrh;5;barang masih tersegel ,ori sesuai expektasi;
"toko nya cs ramah ..kurir amanah""";gambar_produk/produk_13_2.webp;;;
Dicki;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Ungu;5;barang diterima masih segel,gak nyesel belanja di toko ini;gambar_produk/produk_13_3.webp
Dandy;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Ungu;5;Alhamdulillah semua aman, pengiriman juga cepat;gambar_produk/produk_13_4.webp
Andri;OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi) - PromoVarian: Ungu;5;barang ori, ok lah 😁;gambar_produk/produk_13_5.webp
M***h;OPPO Half-Ear Earphones MH135 White 3.5mm;5;Kualitas barangnya benar-benar bagus;
Bassnya mantap;;;;
"Packing rapi dan aman""";gambar_produk/produk_13_6.webp;;;
Lukman;OPPO A78 8GB(+8GB)/256GB Smartphone (Garansi Resmi)Varian: Hijau+TebusMrh;5;thx, barang sudah diterima, barang aman, sesuai deskripsi, fast respon, pengiriman cepat, mantapp👍👍;gambar_produk/produk_13_7.webp
didi;OPPO A5 Pro 5G 8GB+256GB (Garansi Resmi)Varian: Merah Muda;5;barang masih segel, sampai dengan aman, bonus enco buds 3 pro,  terbaik oppo store;gambar_produk/produk_13_8.webp
I***n;OPPO A78 8GB(+8GB)/256GB Smartphone (Garansi Resmi)Varian: Hijau+TebusMrh;5;fast respon dan memuaskan;gambar_produk/produk_13_9.webp
Siti;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Hitam;5;mantapppppp jangan ragu belanja di toko iniii;gambar_produk/produk_14_0.webp
F***n;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Hitam;5;Tidak ada ulasan;gambar_produk/produk_14_1.webp
PURNAMA;OPPO Reno12 F 5G 12GB/256GB (Garansi Resmi) XYZ8732OPVarian: Green 256GB;5;belanja sangat puas, pelayanan toko sangat ramah serta barang cepat sampaiii;gambar_produk/produk_14_2.webp
Rudiana;OPPO A38 6GB/128GB (Garansi Resmi) - PromoVarian: Hitam;5;Sangat amanah... Barang Original sesuai pesanan;gambar_produk/produk_14_3.webp
T***s;[NEW] OPPO A3 8GB/128GB Online Exclusive (Garansi Resmi)Varian: Hitam;5;Barang masih disegel, pengiriman cepat. spek hp cocok sesuai harganga;gambar_produk/produk_14_4.webp
M***h;OPPO A18 4GB/128GB Smartphone (Garansi Resmi) - PromoVarian: Hitam;5;barang real pick banget..... sangat rekomendasi banget pokoknyaa..... ;
Terima kasih buat tokonya;;;;
"kurir ramah""";gambar_produk/produk_14_5.webp;;;
L***d;OPPO A58 NFC 8GB/128GB (Garansi Resmi)Varian: Hijau Muda;5;Tidak ada ulasan;gambar_produk/produk_14_6.webp
Sherry;[NEW] OPPO Reno13 5G 12GB/256GB (Garansi Resmi)Varian: Putih;5;Respon dan kecepatan pengiriman baik. Packing ok, meski ada penyok2 dikit tp produk dlm kondisi baik. Pasti ori. Bundling dgn Enco Air4. Harga lbh murah drpd di store. Sc...;
s***l;OPPO A3 Pro 5G 8GB/256GB Smartphone (Garansi Resmi) XYZ8732OPVarian: Hitam;5;Barang masih segel pengiriman cepat sampai semuanya ok... Mksh;
